Source,Target,Type,Weight
7606,10621,Undirected,2
7606,113947,Undirected,3
10621,113947,Undirected,2
10621,352977,Undirected,2
14414,33854,Undirected,2
14414,133050,Undirected,2
45988,380932,Undirected,2
352977,380932,Undirected,2
23891,188704,Undirected,3
23891,191045,Undirected,2
188704,191045,Undirected,3
188704,252281,Undirected,3
191045,252281,Undirected,2
375570,382286,Undirected,2
90234,91954,Undirected,5
90234,137841,Undirected,3
90234,161956,Undirected,3
90234,237769,Undirected,2
90234,263878,Undirected,2
90234,265988,Undirected,9
90234,266576,Undirected,3
90234,378413,Undirected,3
90234,383523,Undirected,3
91954,137841,Undirected,5
91954,161956,Undirected,3
91954,237769,Undirected,2
91954,263878,Undirected,2
91954,265988,Undirected,7
91954,266576,Undirected,4
91954,378413,Undirected,3
91954,383523,Undirected,3
137841,161956,Undirected,3
137841,237769,Undirected,2
137841,263878,Undirected,2
137841,265988,Undirected,3
137841,266576,Undirected,3
137841,378413,Undirected,3
137841,383523,Undirected,3
161956,237769,Undirected,2
161956,263878,Undirected,2
161956,265988,Undirected,4
161956,266576,Undirected,6
161956,378413,Undirected,3
161956,383523,Undirected,3
237769,263878,Undirected,2
237769,265988,Undirected,3
237769,266576,Undirected,2
237769,378413,Undirected,2
237769,383523,Undirected,2
263878,265988,Undirected,2
263878,266576,Undirected,2
263878,378413,Undirected,2
263878,383523,Undirected,2
265988,266576,Undirected,3
265988,378413,Undirected,3
265988,383523,Undirected,3
266576,378413,Undirected,3
266576,383523,Undirected,3
378413,383523,Undirected,3
49828,157941,Undirected,2
49828,237017,Undirected,2
252413,370341,Undirected,2
42432,270483,Undirected,11
42432,376841,Undirected,10
84098,142710,Undirected,2
84098,199039,Undirected,2
84098,390254,Undirected,2
142710,199039,Undirected,3
142710,390254,Undirected,3
199039,390254,Undirected,3
270483,376841,Undirected,10
92164,112257,Undirected,3
163892,178548,Undirected,2
216869,250394,Undirected,2
42117,188704,Undirected,3
5367,139197,Undirected,2
5367,300603,Undirected,2
108832,352805,Undirected,2
108832,381994,Undirected,2
139197,352805,Undirected,3
139197,387612,Undirected,2
246158,387612,Undirected,2
83407,181075,Undirected,2
181075,319561,Undirected,2
27456,76214,Undirected,2
27456,147868,Undirected,2
27456,167754,Undirected,2
27456,266678,Undirected,2
27456,275736,Undirected,2
76214,147868,Undirected,3
76214,167754,Undirected,2
76214,266678,Undirected,2
76214,275736,Undirected,5
147868,167754,Undirected,2
147868,245917,Undirected,2
147868,270373,Undirected,2
147868,275736,Undirected,3
167754,275736,Undirected,2
245917,270373,Undirected,2
245917,275736,Undirected,2
266678,270373,Undirected,2
131311,294867,Undirected,2
162788,199310,Undirected,2
199310,294867,Undirected,2
55839,60242,Undirected,2
60242,182579,Undirected,2
182579,248912,Undirected,2
121148,198904,Undirected,5
77342,109345,Undirected,2
103026,109345,Undirected,2
78119,99442,Undirected,2
78119,102733,Undirected,2
78119,181075,Undirected,2
78119,307391,Undirected,2
78119,314179,Undirected,2
78119,326594,Undirected,2
78119,372144,Undirected,2
94700,181075,Undirected,2
99442,187788,Undirected,2
102733,181075,Undirected,2
102733,307391,Undirected,2
102733,314179,Undirected,2
102733,326594,Undirected,2
102733,372144,Undirected,2
181075,307391,Undirected,2
181075,314179,Undirected,2
181075,326594,Undirected,3
181075,372144,Undirected,2
307391,314179,Undirected,2
307391,326594,Undirected,2
307391,372144,Undirected,2
314179,326594,Undirected,2
314179,372144,Undirected,2
326594,372144,Undirected,2
6844,317737,Undirected,2
6844,352534,Undirected,3
38980,46169,Undirected,2
38980,98767,Undirected,2
38980,167230,Undirected,2
38980,352534,Undirected,2
38980,382840,Undirected,2
46169,98767,Undirected,2
46169,167230,Undirected,2
46169,352534,Undirected,2
46169,382840,Undirected,2
98767,167230,Undirected,2
98767,352534,Undirected,2
98767,382840,Undirected,2
167230,317737,Undirected,2
167230,352534,Undirected,2
167230,382840,Undirected,2
352534,382840,Undirected,2
10430,256916,Undirected,2
49588,161851,Undirected,2
49588,346409,Undirected,2
109345,161851,Undirected,2
109345,346409,Undirected,2
146643,188704,Undirected,6
146643,233965,Undirected,2
42502,72785,Undirected,4
42502,103256,Undirected,5
42502,112257,Undirected,8
42502,150694,Undirected,2
42502,150845,Undirected,8
42502,233697,Undirected,5
42502,337898,Undirected,8
42502,337916,Undirected,2
42502,381994,Undirected,5
72785,103256,Undirected,3
72785,112257,Undirected,3
72785,150694,Undirected,2
72785,150845,Undirected,4
72785,233697,Undirected,4
72785,337898,Undirected,4
72785,381994,Undirected,2
103256,112257,Undirected,5
103256,150694,Undirected,2
103256,150845,Undirected,5
103256,233697,Undirected,3
103256,337898,Undirected,6
103256,337916,Undirected,2
103256,381994,Undirected,5
112257,150845,Undirected,8
112257,233697,Undirected,4
112257,337898,Undirected,9
112257,337916,Undirected,2
112257,381994,Undirected,5
150694,150845,Undirected,2
150694,233697,Undirected,2
150694,337898,Undirected,2
150694,381994,Undirected,2
150845,233697,Undirected,4
150845,337898,Undirected,7
150845,337916,Undirected,2
150845,381994,Undirected,6
233697,337898,Undirected,5
233697,381994,Undirected,2
337898,381994,Undirected,5
337916,381994,Undirected,2
22548,103256,Undirected,2
22548,112257,Undirected,3
22548,150845,Undirected,3
22548,273157,Undirected,2
22548,337898,Undirected,3
22548,381994,Undirected,2
103256,187507,Undirected,2
103256,273157,Undirected,3
103256,291095,Undirected,4
112257,187507,Undirected,5
112257,273157,Undirected,3
112257,291095,Undirected,4
150845,187507,Undirected,4
150845,273157,Undirected,3
150845,291095,Undirected,6
187507,291095,Undirected,3
187507,337898,Undirected,3
187507,381994,Undirected,3
273157,291095,Undirected,2
273157,337898,Undirected,3
273157,381994,Undirected,3
291095,337898,Undirected,4
291095,381994,Undirected,3
42502,95276,Undirected,2
42502,187047,Undirected,2
42502,273157,Undirected,2
95276,112257,Undirected,2
