Id,Label,movie_count,avg_vote_average,years_active,top_genre,genre_1,genre_2,genre_3,movie_list
37,'Weird Al' Yankovic,28,5.75,2000-2020,Comedy,Comedy,Documentary,Music,"The Power of One: The Pokémon 2000 Movie Special (2000); Behind the Dementia (2000); Nickelodeon Magazine's Big 10 Birthday Bash (2003); Derailroaded (2005); Ben Folds: The Making of Songs for Silverman (2005); Don't Download This Song (2006); Al's Brain (2009); Halloween II (2009); Candyman: The David Klein Story (2010); Weird: The Al Yankovic Story (2010); Star Wars Spoofs (2011); Adventures in Plymptoons! (2011); The Animated Tales of GWAR (2013); The Riddler: Riddle Me This (2013); American Psycho with Huey Lewis and Weird Al (2013); Batman vs. Robin (2015); Robot Chicken DC Comics Special III: Magical Friendship (2015); Weird Al Yankovic at Blizzcon 2016 (2016); Popstar: Never Stop Never Stopping (2016); Sandy Wexler (2017); Tim and Eric Awesome Show Great Job! Awesome 10 Year Anniversary Version, Great Job? (2017); How to Be a Latin Lover (2017); The Amazing Johnathan Documentary (2019); Teen Titans Go! vs. Teen Titans (2019); Animation Outlaws (2019); Tiny Tim: King for a Day (2020); Bill & Ted Face the Music (2020); Phineas and Ferb the Movie: Candace Against the Universe (2020)"
56,50 Cent,48,4.88,2003-2020,Action,Action,Documentary,Drama,50 Cent & G-Unit | In Da Club: The Movie (2003); Tupac: Resurrection (2003); Born To Ball (2003); 50 Cent | The New Breed (2003); 50 Cent | Shoot First (2003); SMACK: Platinum Edition (2004); Hip-Hop Honeys | Las Vegas (2005); Letter to the President (2005); 50 Cent | Who Dares Wins (2005); The Game: The Documentary (2005); 50 Cent: Refuse 2 Die (2005); Get Rich or Die Tryin' (2005); Jack's Law (2006); Black and Blue: Legends of the Hip-Hop Cop (2006); Home of the Brave (2006); Live! (2007); Righteous Kill (2008); Elvis | Viva Las Vegas (2008); Dead Man Running (2009); DJ Juice: The King is Back Mixtape Blend DVD Vol. 70 (2009); DJ Cinema Presents: Masterpiece Theater Blend Dvd (2009); Streets of Blood (2009); Before I Self Destruct (2009); Morning Glory (2010); 13 (2010); Gun (2010); Twelve (2010); Caught in the Crossfire (2010); Setup (2011); All Things Fall Apart (2011); Blood Out (2011); Freelancers (2012); Fire with Fire (2012); How to Make Money Selling Drugs (2012); Last Vegas (2013); The Frozen Ground (2013); Escape Plan (2013); The Prince (2014); Not Afraid: The Shady Records Story (2015); Spy (2015); Southpaw (2015); Champs (2015); Popstar: Never Stop Never Stopping (2016); Escape Plan 2: Hades (2018); Den of Thieves (2018); Escape Plan: The Extractors (2019); LA Originals (2020); Jackass: Steve-O YouTube Videos (2020)
76,A$AP Rocky,11,7.16,2014-2020,Documentary,Documentary,Music,Comedy,SVDDXNLY (2014); Dope (2015); Fresh Dressed (2015); Zoolander 2 (2016); Popstar: Never Stop Never Stopping (2016); AWGE DVD: Volume 1 (2017); Frank Ocean Full Concert FYF Fest 2017 (2017); AWGE DVD: Volume 2 (2018); AWGE DVD: Volume 3 (2018); Have a Good Trip: Adventures in Psychedelics (2020); LA Originals (2020)
147,A.C. Lyles,13,5.5,2002-2016,Documentary,Documentary,History,TV Movie,"Marlene Dietrich: Her Own Song (2002); Cinerama Adventure (2002); Sunset Boulevard: A Look Back (2002); John Travolta Remembers James Cagney (2003); Biography: Humphrey Bogart (2003); Why Be Good?: Sexuality & Censorship in Early Cinema (2007); The Dawn of Sound: How Movies Learned to Talk (2007); Audrey Hepburn: The Paramount Years (2008); 1939: Hollywood's Greatest Year (2009); Behind The Gates: Cary Grant And Grace Kelly (2009); Pure in Heart: The Life and Legacy of Lon Chaney, Jr. (2010); Wings: Grandeur in the Sky (2012); The Lost City of Cecil B. DeMille (2016)"
150,A.C. Peterson,26,5.56,2000-2017,Drama,Drama,Thriller,Action,Shanghai Noon (2000); Who Is Cletis Tout? (2001); A Glimpse of Hell (2001); D-Tox (2002); Narc (2002); Deathlands (2003); Agent Cody Banks (2003); Defending Our Kids: The Julie Posey Story (2003); Scooby-Doo 2: Monsters Unleashed (2004); The Cradle Will Fall (2004); Martha Behind Bars (2005); Second Sight (2007); Perfect Child (2007); Shooter (2007); Tortured (2008); Carny (2009); Defendor (2009); The Case for Christmas (2011); Sucker Punch (2011); The Samaritan (2012); A Single Shot (2013); The Art of the Steal (2013); Stonewall (2015); He Never Died (2015); The Stakelander (2016); Molly's Game (2017)
156,A.D. Miles,12,5.91,2000-2019,Comedy,Comedy,Drama,Romance,Bamboozled (2000); Wet Hot American Summer (2001); The Believer (2001); Thirteen Conversations About One Thing (2001); Stella Shorts 1998-2002 (2002); Uptown Girls (2003); The Baxter (2005); The Ten (2007); Role Models (2008); Balls Out: Gary the Tennis Coach (2009); Hurricane of Fun: The Making of Wet Hot (2015); Between Two Ferns: The Movie (2019)
178,A.J. Buckley,24,5.21,2000-2015,Comedy,Comedy,Drama,Thriller,The In Crowd (2000); Convergence (2000); Deal of a Lifetime (2000); Extreme Days (2001); The Forsaken (2001); Nightstalker (2002); 100 Women (2002); Wishcraft (2002); Silent Warnings (2003); Blue Car (2003); In Enemy Hands (2004); Wild Roomies (2004); Manticore (2005); You Did What? (2006); Happy Feet (2006); Jimmy and Judy (2006); The Box (2007); Walking Tall: The Payback (2007); The Last Sin Eater (2007); Christmas Mail (2010); Wolverine and the X-Men: Fate of the Future (2010); Skateland (2011); The Good Dinosaur (2015); Home Sweet Hell (2015)
223,A.J. Johnson,11,5.05,2000-2020,Drama,Drama,Thriller,Comedy,Two Shades of Blue (2000); The Bulls' Night Out (2000); Baby Boy (2001); Hood Rat (2001); It's Black Entertainment (2002); Skin Deep (2003); Roscoe's House of Chicken n Waffles (2004); A Better Life (2015); Come Sunday (2018); Sins of the Father (2019); Holiday Heartbreak (2020)
226,A.J. Khan,37,3.47,2000-2014,Horror,Horror,Comedy,Fantasy,Mistress Frankenstein (2000); Daughters of Darkness (2000); Erotic Witch Project 2: Book of Seduction (2000); Gladiator Eroticvs: The Lesbian Warriors (2001); The Erotic Mirror (2002); Vampire Obsession (2002); Flesh for Olivia (2002); That 70's Girl (2003); A Good Night to Die (2003); Vampire Vixens (2003); Girl Seduction (2003); Screaming Dead (2003); The Lord of the G-Strings: The Femaleship of the String (2003); The Erotic Diary of Misty Mundae (2004); Sexy American Idle (2004); Vampiyaz (2004); Suburban Secrets (2004); The Sexy Adventures of Van Helsing (2004); Shock-O-Rama (2005); New York Wildcats (2005); The Girl Who Shagged Me (2005); Lust in Space: The Erotic Witch Project IV (2005); Hotties (2005); Bacterium (2006); SSI: Sex Squad Investigation (2006); Kinky Kong (2006); Sex Hex (2007); Taylor Wane's Erotic Games (2007); Softcore Divas: Behind the G-String (2007); Cloak & Shag Her (2008); Naughty Novelist (2008); Muckman (2009); Living Will... (2011); Lustful Illusions (2011); Hot Naked Sex & the City (2011); No Strings 2: Playtime in Hell (2012); Beaster Day: Here Comes Peter Cottonhell (2014)
308,AJ Bowen,27,5.16,2006-2019,Horror,Horror,Thriller,Drama,Creepshow 3 (2006); The Signal (2007); The House of the Devil (2009); Hatchet II (2010); A Horrible Way to Die (2010); Chillerama (2011); What Fun We Were Having: 4 Stories About Date Rape (2011); No Way Out (2011); Fade Into You (2012); Rites of Spring (2012); Among Friends (2012); When We Lived in Miami (2013); Margot Rourke & The Boys Club (2013); Sun Don't Shine (2013); You're Next (2013); Faults (2014); Tom Holland's Twisted Tales (2014); The Sacrament (2014); The Guest (2014); The Reconstruction of William Zero (2015); Synchronicity (2015); The Frontier (2016); Teenage Cocktail (2016); Dead Night (2018); Flimsy Company (2019); I Trapped the Devil (2019); Satanic Panic (2019)
319,AJ McLean,15,7.5,2000-2019,Music,Music,Documentary,Comedy,"Backstreet Boys: Secret Diary (2000); The Concert for New York City (2001); Backstreet Boys: Black & Blue Tour Live in Dallas (2001); Olive Juice (2001); Arthur: It's Only Rock 'n' Roll (2002); Backstreet Boys: Never Gone Tour Live in Seoul (2006); Backstreet Boys: Never Gone Tour Live in Shanghai (2006); Backstreet Boys: Live From The O2 Arena, London (2008); Backstreet Boys: MTV Play To Stop - Europe for Climate Live in Copenhagen (2009); Backstreet Boys: This Is Us Japan Tour 2010 (2010); This Is the End (2013); Backstreet Boys: Show 'Em What You're Made Of (2015); Dead 7 (2016); Pentatonix: A Not So Silent Night (2018); The Boy Band Con: The Lou Pearlman Story (2019)"
322,AJ Michalka,15,6.27,2006-2018,Drama,Drama,Comedy,TV Movie,Cow Belles (2006); Radio Disney Party Jams: The Concert (2006); Super Sweet 16: The Movie (2007); The Lovely Bones (2009); Secretariat (2010); Slow Moe (2010); Super 8 (2011); Salem Falls (2011); Grace Unplugged (2013); Angels in Stardust (2014); Expecting Amish (2014); Weepah Way For Now (2015); Dirty Lies (2016); Apple of My Eye (2017); Support the Girls (2018)
419,Aaron Abrams,20,5.64,2003-2020,Drama,Drama,Comedy,Action,The Gospel of John (2003); The In-Laws (2003); Ice Bound (2003); Resident Evil: Apocalypse (2004); Trump Unauthorized (2005); Cinderella Man (2005); Zoom (2006); Firehouse Dog (2007); Young People Fucking (2007); Flash of Genius (2008); Cyborg Soldier (2008); 12 Men of Christmas (2009); Amelia (2009); The Chicago 8 (2011); Jesus Henry Christ (2012); Regression (2015); #FromJennifer (2017); The Open House (2018); Code 8 (2019); The Lovebirds (2020)
424,Aaron Aguilera,14,1.54,2000-2018,Action,Action,Drama,Horror,Inside Wrestling School (2000); PWG: Untitled (The Debut Show) (2003); PWG: Bad Ass Mother 3000 - Stage 1 (2003); PWG: Bad Ass Mother 3000 - Stage 2 (2003); WWE Armageddon 2004 (2004); PWG: Tango & Cash Invitational - Night One (2004); PWG: Taste The Radness (2004); PWG: 88 Miles Per Hour (2004); PWG: The Musical (2004); PWG: 44 Ways To Kill You With A Pimento (2004); PWG: Zombies (Shouldn't Run) (2005); PWG: Smells Like Steen Spirit (2005); PWG: All Star Weekend 2 - Night Two (2005); Minutes to Midnight (2018)
442,Aaron Ashmore,18,5.62,2000-2015,Drama,Drama,TV Movie,Thriller,"Run the Wild Fields (2000); Haven (2001); My Husband's Double Life (2001); Conviction (2002); The Skulls II (2002); The Safety of Objects (2002); Charms for the Easy Life (2002); The Pentagon Papers (2003); Brave New Girl (2004); A Bear Named Winnie (2004); A Separate Peace (2004); My Brother's Keeper (2004); Palo Alto, CA (2007); The Stone Angel (2007); Christmas Cottage (2008); The Thaw (2009); Conception (2011); Regression (2015)"
581,Aaron Courteau,12,6.39,2005-2020,Thriller,Thriller,Action,Drama,Stan Ridgway's Holiday In Dirt (2005); Horror House (2008); Memorial Day (2011); Prodigal (2011); After the Dawn (2012); Dust of War (2013); Zombies (2016); Project Eden: Vol. I (2017); Wunderland (2018); Farmer of the Year (2018); The Great War (2019); Battle of the Bulge: Winter War (2020)
584,Aaron Craven,14,6.16,2005-2019,Drama,Drama,TV Movie,Thriller,The Hard Corps (2005); 14 Hours (2005); Deck the Halls (2006); The Day the Earth Stood Still (2008); Alien Trespass (2009); Big Eyes (2014); The Age of Adaline (2015); Surprised by Love (2015); A Country Wedding (2015); Final Vision (2017); The Predator (2018); Dolemite Is My Name (2019); Easter Under Wraps (2019); Hailey Dean Mysteries: Killer Sentence (2019)
616,Aaron Douglas,30,5.6,2003-2020,Drama,Drama,TV Movie,Action,"Final Destination 2 (2003); Before I Say Goodbye (2003); The Lizzie McGuire Movie (2003); X2 (2003); Lucky 7 (2003); The Stranger Beside Me (2003); Catwoman (2004); I, Robot (2004); The Chronicles of Riddick (2004); Walking Tall (2004); Saved! (2004); The Exorcism of Emily Rose (2005); White Noise (2005); The Superdry Films (2005); Man About Town (2006); Battlestar Galactica: Razor (2007); Butterfly on a Wheel (2007); Stories USA (2007); Battlestar Galactica: The Plan (2009); One Angry Juror (2010); Betwixt (2010); Killer Mountain (2011); Ghost Storm (2012); The Mentor (2014); The Monster (2016); Death Al Dente: A Gourmet Detective Mystery (2016); Little Pink House (2018); Aurora Teagarden Mysteries: A Very Foul Play (2019); Mystery 101: Playing Dead (2019); Operation Christmas Drop (2020)"
624,Aaron Eckhart,36,6.03,2000-2020,Thriller,Thriller,Drama,Action,"Erin Brockovich (2000); Nurse Betty (2000); The Pledge (2001); Possession (2002); The Core (2003); Paycheck (2003); The Missing (2003); Suspect Zero (2004); Neverwas (2005); Thank You for Smoking (2005); Conversations with Other Women (2006); The Wicker Man (2006); The Black Dahlia (2006); Operation Homecoming: Writing the Wartime Experience (2007); Meet Bill (2007); No Reservations (2007); Towelhead (2008); The Dark Knight (2008); Heath Ledger: A Tribute (2009); Love Happens (2009); Rabbit Hole (2010); Battle: Los Angeles (2011); The Rum Diary (2011); Erased (2012); Olympus Has Fallen (2013); I, Frankenstein (2014); My All American (2015); Incarnate (2016); London Has Fallen (2016); Bleed for This (2016); Sully (2016); Line of Duty (2019); Midway (2019); The Men of Midway (2020); Wander (2020); Roland Emmerich: Man on a Mission (2020)"
